epoch,train_loss,train_acc,train_clean_loss,train_adv_loss,train_adv_acc,test_loss,test_acc,epoch_time_sec
1,2.097778,0.315160,1.910562,2.097778,0.221300,1.721035,0.385100,255.793
2,1.966019,0.404340,1.687916,1.966019,0.265280,1.568710,0.449000,231.920
3,1.911213,0.436760,1.607322,1.911213,0.281880,1.494981,0.478600,220.115
4,1.874627,0.460200,1.554373,1.874627,0.297020,1.474376,0.485300,172.943
5,1.842489,0.473200,1.517256,1.842489,0.306480,1.431346,0.501100,235.628
6,1.801286,0.486220,1.479272,1.801286,0.325600,1.409299,0.513300,239.484
7,1.730277,0.496860,1.447859,1.730277,0.352580,1.376886,0.532200,280.675
8,1.613563,0.489980,1.448406,1.613563,0.405340,1.390344,0.506400,255.464
9,1.496135,0.468000,1.505816,1.496135,0.457960,1.591699,0.437700,254.333
10,1.400098,0.457520,1.551526,1.400098,0.497440,1.499583,0.472900,184.629
