epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.586912,0.415300,1.265566,0.544200,80.699
2,1.224538,0.557580,1.007268,0.639400,102.713
3,1.050093,0.626360,0.872316,0.696100,113.763
4,0.927173,0.674320,0.817663,0.716400,98.013
5,0.846996,0.701960,0.778778,0.725700,101.915
6,0.782636,0.727800,0.728458,0.750700,113.066
7,0.746031,0.739920,0.715296,0.752300,108.002
8,0.701345,0.753140,0.689514,0.761700,49.334
9,0.678580,0.763500,0.646449,0.778500,47.011
10,0.647682,0.773380,0.625934,0.787000,46.073
