epoch,train_loss,val_loss,train_rmse_raw,val_rmse_raw,train_rmse_clamped,val_rmse_clamped,train_mae_raw,val_mae_raw,train_mae_clamped,val_mae_clamped,train_mse_raw,val_mse_raw,train_nse_raw,val_nse_raw,val_csi_gamma_0_001_raw,val_csi_gamma_0_001_clamped,val_csi_gamma_0_01_raw,val_csi_gamma_0_01_clamped,val_path_iou_gamma_0_001_raw,val_path_iou_gamma_0_001_clamped,val_path_iou_gamma_0_01_raw,val_path_iou_gamma_0_01_clamped,train_pred_min,val_pred_min,train_pred_max,val_pred_max,train_pred_mean,val_pred_mean,train_negative_prediction_ratio,val_negative_prediction_ratio,train_target_mean,val_target_mean,learning_rate,epoch_time_sec
1,0.030572175953514105,0.23684983453556394,0.037608097118567135,0.10467783398660763,0.03760717195860255,0.10467726816916118,0.012066400085638978,0.07074379737661209,0.012052475490052741,0.07071919497481799,0.0014143689688795777,0.010957448928127786,0.9741397433409777,0.9731333186913935,0.6640533657101725,0.6640533657101725,0.5990631531831861,0.5990631531831861,0.009537403028277993,0.009537403028277993,0.012062796455651526,0.012062796455651526,0.006211243569850922,-0.027831435203552246,1.4399667978286743,19.254831314086914,0.015205023810267448,0.3386838436126709,0.0,0.006029553711414337,0.004300140775740147,0.3287188708782196,0.0001,434.08640509999896
2,0.029752149601108144,0.19209397646985696,0.03710029465449077,0.09427033633802373,0.03709559087069934,0.09426526829793183,0.011690525639550857,0.062648330676623,0.011631317369631362,0.06256287798488039,0.0013764318634500367,0.008886896313284117,0.9748333836179456,0.9782101278648233,0.6738205640707692,0.6738205640707692,0.6222410236291036,0.6222410236291036,0.009917146688927292,0.009917146688927292,0.013262211556079036,0.013262211556079036,-0.004662454128265381,-0.08210773020982742,6.357202529907227,19.257383346557617,0.0494735948741436,0.3313498795032501,0.0007556484779343009,0.015505559742450714,0.054531533271074295,0.3287188708782196,0.0001,437.2530828000017
3,0.029264124752790315,0.1488408666480793,0.036794758293546254,0.08298111770717818,0.036789243990061476,0.08297164899073407,0.011484269755307804,0.05286082651655516,0.011427446475203426,0.052729499491637195,0.001353854237880491,0.0068858658959325605,0.9752461918771951,0.9831164748498233,0.684512774483171,0.684512774483171,0.6579910862301985,0.6579910862301985,0.010234110395286414,0.010234110395286414,0.015375933400186299,0.015375933400186299,-0.052489422261714935,-0.11960311979055405,12.270425796508789,19.32943344116211,0.1244623214006424,0.32145974040031433,0.03364806994795799,0.025345493108034134,0.11801169067621231,0.3287188708782196,0.0001,436.9592707999982
4,0.028780895227442933,0.3074213651040297,0.03648970345740298,0.1192573646752169,0.03648386599423991,0.11925418947150972,0.011326400258771126,0.0801333807519147,0.011272118455895916,0.08006293719222671,0.001331498458409207,0.014222319029277673,0.9756549439126685,0.9651281502350365,0.683612477850305,0.683612477850305,0.6260110634764446,0.6260110634764446,0.010499890734974555,0.010499890734974555,0.013463594857230761,0.013463594857230761,-0.10111217945814133,-0.06823385506868362,15.511384963989258,20.141990661621094,0.1993299275636673,0.3464697003364563,0.04287653788924217,0.014623100869357586,0.21652638912200928,0.3287188708782196,0.0001,436.13064790000135
5,0.028384749610005512,0.2348187431860506,0.03623770767707574,0.10422803783586532,0.036232462149450334,0.10422267651936187,0.01117653638432374,0.06567422913276329,0.011129718084575956,0.06559028407219682,0.0013131714576891937,0.010863483871114573,0.9759900339442217,0.9733637125775506,0.6711357663722053,0.6711357663722053,0.6536113711782624,0.6536113711782624,0.00970083494712088,0.00970083494712088,0.015143899602990325,0.015143899602990325,-0.0020238757133483887,-0.13513991236686707,1.6007107496261597,20.232179641723633,0.00562787801027298,0.33165231347084045,0.0003448188945185393,0.015377012081444263,0.015183556824922562,0.3287188708782196,0.0001,435.48309320000044
6,0.02806071357129618,0.16036534767723484,0.03603027200904251,0.08613376868273484,0.036026029522794066,0.08612396049983445,0.011131724806298537,0.054424746414789324,0.011093183271394089,0.05429919799782359,0.0012981805010455923,0.0074190261074908725,0.9762641279005355,0.9818092138637743,0.6819020636315043,0.6819020636315043,0.6760282596194443,0.6760282596194443,0.010167792039158855,0.010167792039158855,0.016667098407259516,0.016667098407259516,0.0003274083137512207,-0.1412353813648224,1.5485161542892456,20.128734588623047,0.00994816143065691,0.3238672614097595,0.0,0.021982422098517418,0.004300112836062908,0.3287188708782196,0.0001,435.7934623000001
7,0.027697854057835675,0.28503398036354044,0.035796556098619293,0.11483294501040148,0.03579255520507254,0.11482845271769401,0.010993230760360843,0.07326250921355239,0.010954149663562092,0.07318158671561556,0.001281393428521598,0.01318660525976189,0.9765710619563414,0.9676676274395423,0.6723605790402684,0.6723605790402684,0.6425653922441467,0.6425653922441467,0.00978489809187283,0.00978489809187283,0.014468815095912984,0.014468815095912984,-0.06310116499662399,-0.15360984206199646,10.85219669342041,20.893415451049805,0.09101276099681854,0.3408784568309784,0.04867766052484512,0.014440703205764294,0.08403151482343674,0.3287188708782196,0.0001,435.4103195000025
8,0.02721391961606819,0.19883354447698326,0.03548246090502269,0.09590980576225154,0.035478318737045225,0.09590529215822782,0.01090895995880267,0.06000186242237,0.01087030255509149,0.0599170128040647,0.0012590050318764634,0.00919869084135282,0.9769804103627093,0.9774456356664717,0.676447127330893,0.676447127330893,0.6653864533806229,0.6653864533806229,0.009908344978967589,0.009908344978967589,0.015973164669851835,0.015973164669851835,-0.06517855077981949,-0.13652750849723816,12.43127727508545,20.541086196899414,0.11964897066354752,0.329243004322052,0.018172042444348335,0.017061153426766396,0.11706661432981491,0.3287188708782196,0.0001,434.1693884000015
9,0.0267867870453231,0.2611404711359672,0.035202904463421586,0.10991457266383031,0.03519886291689975,0.10990840973125773,0.010823617739649754,0.06562050364669678,0.010787612116923256,0.06551257265749938,0.0012392444826607877,0.012081213283872435,0.9773417113285,0.970377949352253,0.6880464928651898,0.6880464928651898,0.6684150037140641,0.6684150037140641,0.010479175069777634,0.010479175069777634,0.016154080308154177,0.016154080308154177,-0.03987088054418564,-0.1802162528038025,11.23359203338623,20.92434310913086,0.0991581380367279,0.33282655477523804,0.030703648924827576,0.01746329665184021,0.09811336547136307,0.3287188708782196,0.0001,434.0152546999998
10,0.026433603500927067,0.2774499820942959,0.03497005946024616,0.11329494525693562,0.03496589908664432,0.11328717644178231,0.010791348723344493,0.06883696060501822,0.010754478282677922,0.06869303744704361,0.0012229050586531516,0.01283574462077204,0.9776404605995851,0.9685279062355745,0.6950618827002848,0.6950618827002848,0.6668137985559052,0.6668137985559052,0.010746815099209356,0.010746815099209356,0.01602207198704713,0.01602207198704713,-0.045510753989219666,-0.1632922887802124,10.416163444519043,20.777307510375977,0.08490389585494995,0.3365785777568817,0.02055276930332184,0.02464890666306019,0.0780625268816948,0.3287188708782196,0.0001,434.5733857999985
