epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.882931,0.310960,1.625499,0.420300,61.153
2,1.571514,0.428140,1.444097,0.480000,42.767
3,1.474902,0.465420,1.359172,0.517400,53.534
4,1.414471,0.490520,1.343758,0.523800,54.346
5,1.359547,0.513660,1.257339,0.554100,43.216
6,1.309459,0.529920,1.228484,0.560300,55.117
7,1.268204,0.544540,1.186903,0.576500,67.885
8,1.230649,0.559700,1.144890,0.596500,68.244
9,1.201529,0.575740,1.113856,0.604900,67.885
10,1.163682,0.588880,1.090636,0.615400,68.901
