epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.905517,0.299180,1.757397,0.369700,89.914
2,1.687719,0.375000,1.603129,0.421800,75.875
3,1.638010,0.402020,1.526064,0.447100,79.217
4,1.607123,0.412460,1.483055,0.462600,72.804
5,1.576880,0.422940,1.490254,0.459300,75.515
6,1.559124,0.430740,1.515630,0.452300,73.450
7,1.556331,0.431680,1.472390,0.461400,71.158
8,1.557806,0.432800,1.525649,0.450900,82.781
9,1.554626,0.434440,1.545258,0.448400,76.584
10,1.540509,0.443480,1.469292,0.478100,90.181
